source,target
mark,निशान
third,तीसरा
rock,चट्टान
gifts,उपहार
europe,यूरोप
reading,पढ़ना
topics,विषय
bad,खराब
individual,व्यक्ति
tips,टिप्स
plus,प्लस
auto,ऑटो
cover,आवरण
usually,आमतौर पर
edit,संपादित करें
together,साथ में
videos,वीडियो
percent,प्रतिशत
fast,तेज
function,समारोह
fact,तथ्य
unit,इकाई
getting,मिल रहा
global,वैश्विक
tech,तकनीक
meet,मिलना
far,दूर
economic,आर्थिक
en,एन
player,खिलाड़ी
projects,परियोजनाओं
lyrics,बोल
often,अक्सर
subscribe,सदस्यता लेने के
submit,प्रस्तुत
germany,जर्मनी
amount,रकम
watch,घड़ी
included,शामिल
feel,मानना
though,हालांकि
bank,बैंक
risk,जोखिम
thanks,धन्यवाद
everything,सब कुछ
deals,सौदा
various,विभिन्न
words,शब्दों
linux,लिनक्स
jul,जुलाई
production,उत्पादन
commercial,व्यावसायिक
james,जेम्स
weight,वजन
town,नगर
heart,दिल
advertising,विज्ञापन
received,प्राप्त किया
choose,चुनें
treatment,इलाज
newsletter,समाचार पत्रिका
archives,अभिलेखागार
points,अंक
knowledge,ज्ञान
magazine,पत्रिका
error,त्रुटि
camera,कैमरा
jun,जून
girl,लड़की
currently,वर्तमान में
construction,निर्माण
toys,खिलौने
registered,दर्ज कराई
clear,स्पष्ट
golf,गोल्फ़
receive,प्राप्त करना
domain,डोमेन
methods,तरीकों
chapter,अध्याय
makes,बनाता है
protection,सुरक्षा
policies,नीतियों
loan,ऋण
wide,चौड़ा
beauty,सुंदरता
manager,मैनेजर
india,भारत
position,पद
taken,लिया
sort,तरह
listings,लिस्टिंग
models,मॉडल
michael,माइकल
known,मालूम
half,आधा
cases,मामलों
step,कदम
engineering,अभियांत्रिकी
florida,फ्लोरिडा
simple,सरल
quick,शीघ्र
none,कोई नहीं
wireless,तार रहित
license,लाइसेंस
paul,पॉल
friday,शुक्रवार
lake,झील
whole,पूरा का पूरा
annual,वार्षिक
published,प्रकाशित
later,बाद में
basic,बुनियादी
sony,सोनी
shows,दिखाता है
corporate,कॉर्पोरेट
google,गूगल
church,चर्च
method,तरीका
purchase,खरीद फरोख्त
customers,ग्राहकों
active,सक्रिय
response,प्रतिक्रिया
practice,अभ्यास
hardware,हार्डवेयर
figure,आकृति
materials,सामग्री
fire,आग
holiday,छुट्टी का दिन
chat,बातचीत
enough,बस
designed,बनाया गया
along,साथ में
among,के बीच में
death,मौत
writing,लिख रहे हैं
speed,स्पीड
html,एचटीएमएल
countries,देशों
loss,हानि
face,चेहरा
brand,ब्रांड
discount,छूट
higher,उच्चतर
effects,प्रभाव
created,बनाया था
remember,याद है
standards,मानकों
oil,तेल
bit,बिट
yellow,पीला
political,राजनीतिक
increase,बढ़ना
advertise,विज्ञापित
kingdom,राज्य
base,आधार
near,पास में
environmental,पर्यावरण
thought,विचार
stuff,सामग्री
french,फ्रेंच
storage,भंडारण
oh,ओह
japan,जापान
doing,करते हुए
loans,ऋण
shoes,जूते
entry,प्रवेश
stay,रहना
nature,प्रकृति
orders,आदेश
availability,उपलब्धता
africa,अफ्रीका
summary,सारांश
turn,मोड़
mean,मीन
growth,विकास
notes,टिप्पणियाँ
agency,एजेंसी
king,राजा
monday,सोमवार
european,यूरोपीय
activity,गतिविधि
copy,प्रतिलिपि
although,हालांकि
drug,दवाई
pics,तस्वीरें
western,वेस्टर्न
income,आय
force,बल
cash,नकद
employment,रोज़गार
overall,संपूर्ण
bay,खाड़ी
river,नदी
commission,आयोग
ad,विज्ञापन
package,पैकेज
contents,अंतर्वस्तु
seen,देखा
players,खिलाड़ियों
engine,यन्त्र
port,बंदरगाह
album,एल्बम
regional,क्षेत्रीय
stop,रुकें
supplies,आपूर्ति
started,शुरू कर दिया है
administration,शासन प्रबंध
bar,बार
institute,संस्था
views,विचारों
plans,योजनाओं
double,दोहरा
dog,कुत्ता
build,बिल्ड
screen,स्क्रीन
exchange,अदला बदली
types,प्रकार
soon,जल्द ही
sponsored,प्रायोजित
lines,पंक्तियां
electronic,इलेक्ट्रोनिक
continue,जारी रखें
across,भर में
benefits,लाभ
needed,जरूरत है
season,मौसम
apply,लागू
someone,कोई व्यक्ति
held,आयोजित
ny,न्यूयॉर्क
anything,कुछ भी
printer,मुद्रक
condition,स्थिति
effective,प्रभावी
believe,मानना
organization,संगठन
effect,प्रभाव
asked,पूछा
eur,ईयूआर
mind,मन
sunday,रविवार
selection,चयन
casino,कैसिनो
pdf,पीडीएफ
lost,खो गया
tour,यात्रा
menu,मेन्यू
volume,आयतन
cross,पार करना
anyone,किसी को
mortgage,बंधक
hope,आशा
silver,चांदी
corporation,निगम
wish,तमन्ना
inside,के भीतर
solution,उपाय
mature,प्रौढ़
role,भूमिका
rather,बल्कि
weeks,हफ्तों
addition,इसके अलावा
came,आया
supply,आपूर्ति
nothing,कुछ भी तो नहीं
certain,कुछ
usr,usr
executive,कार्यपालक
running,दौड़ना
lower,कम
necessary,ज़रूरी
union,संघ
jewelry,आभूषण
according,अनुसार
dc,डीसी
clothing,कपड़े
mon,सोमवार
com,कॉम
particular,विशेष
fine,ठीक
names,नाम
robert,रॉबर्ट
homepage,होमपेज
hour,इस घंटे
gas,गैस
skills,कौशल
six,छह
bush,बुश
islands,द्वीपों
advice,सलाह
career,व्यवसाय
military,सैन्य
rental,किराये पर लेना
decision,फेसला
leave,छोड़ना
british,अंग्रेजों
teens,किशोर
pre,पूर्व
huge,विशाल
sat,बैठ गया
woman,महिला
facilities,सुविधाएं
zip,ज़िप
bid,बोली
kind,मेहरबान
sellers,विक्रेताओं
middle,मध्य
move,चाल
cable,केबल
opportunities,अवसरों
taking,ले रहा
values,मूल्यों
division,विभाजन
coming,अ रहे है
tuesday,मंगलवार
object,वस्तु
lesbian,समलैंगिक
appropriate,उचित
machine,मशीन
logo,प्रतीक चिन्ह
length,लंबाई
actually,वास्तव में
nice,अच्छा
score,स्कोर
statistics,आंकड़े
client,ग्राहक
ok,ठीक
returns,रिटर्न
capital,राजधानी
follow,का पालन करें
sample,नमूना
investment,निवेश
sent,भेज दिया
shown,पता चला
saturday,शनिवार
christmas,क्रिसमस
england,इंगलैंड
culture,संस्कृति
band,बैंड
flash,Chamak
ms,एमएस
lead,नेतृत्व
george,जॉर्ज
choice,पसंद
went,चला गया
starting,शुरुआत
registration,पंजीकरण
fri,शुक्र
thursday,गुरूवार
courses,पाठ्यक्रम
consumer,उपभोक्ता
hi,नमस्ते
airport,हवाई अड्डा
foreign,विदेश
artist,कलाकार
outside,बाहर
furniture,फर्नीचर
levels,स्तरों
channel,चैनल
letter,पत्र
mode,मोड
phones,फ़ोनों
ideas,विचारों
wednesday,बुधवार
structure,संरचना
fund,निधि
summer,गर्मी
allow,अनुमति
degree,डिग्री
contract,अनुबंध
button,बटन
releases,विज्ञप्ति
wed,बुध
homes,घरों
super,उत्तम
male,पुरुष
matter,मामला
custom,रिवाज
virginia,वर्जीनिया
almost,लगभग
took,लिया
located,स्थित
multiple,विभिन्न
asian,एशियाई
distribution,वितरण
editor,संपादक
inn,सराय
industrial,औद्योगिक
cause,वजह
potential,क्षमता
song,गीत
cnet,CNET
ltd,लिमिटेड
los,लॉस
hp,अश्वशक्ति
focus,फोकस
late,देर से
fall,गिरना
featured,विशेष रुप से प्रदर्शित
idea,विचार
rooms,कमरा
female,महिला
responsible,उत्तरदायी
inc,इंक
communications,संचार
win,जीत
associated,संबद्ध
thomas,थॉमस
primary,मुख्य
cancer,कैंसर
numbers,नंबर
reason,कारण
tool,साधन
browser,ब्राउज़र
spring,वसंत
foundation,आधार
answer,उत्तर
voice,आवाज़
eg,जैसे
friendly,अनुकूल
schedule,अनुसूची
documents,दस्तावेजों
communication,संचार
purpose,उद्देश्य
feature,फ़ीचर
bed,बिस्तर
comes,आता हे
police,पुलिस
everyone,हर कोई
independent,स्वतंत्र
ip,आईपी
approach,पहुंच
cameras,कैमरों
brown,भूरा
physical,शारीरिक
operating,ऑपरेटिंग
hill,पहाड़ी
maps,एमएपीएस
medicine,दवा
deal,सौदा
hold,होल्ड
ratings,रेटिंग्स
chicago,शिकागो
forms,फार्म
glass,कांच
happy,खुश
tue,मंगल
smith,लोहार
wanted,चाहता था
developed,विकसित
thank,धन्यवाद
safe,सुरक्षित
unique,अद्वितीय
survey,सर्वेक्षण
prior,पूर्व
telephone,TELEPHONE
sport,खेल
ready,तैयार
feed,चारा
animal,जानवर
sources,सूत्रों का कहना है
mexico,मेक्सिको
population,आबादी
pa,देहात
regular,नियमित
secure,सुरक्षित
navigation,पथ प्रदर्शन
operations,संचालन
therefore,इसलिये
ass,नितंब
simply,केवल
evidence,सबूत
station,स्टेशन
christian,ईसाई
round,गोल
paypal,paypal
favorite,पसंदीदा
understand,समझना
option,विकल्प
master,गुरुजी
valley,घाटी
recently,हाल ही में
probably,शायद
thu,गुरु
rentals,किराया
sea,समुद्र
built,बनाया
publications,प्रकाशनों
blood,रक्त
cut,कट गया
worldwide,दुनिया भर
improve,सुधारें
connection,संबंध
publisher,प्रकाशक
hall,हॉल
larger,बड़ा
anti,एंटी
networks,नेटवर्क
earth,धरती
parents,माता-पिता
nokia,नोकिया
impact,प्रभाव
transfer,स्थानांतरण
introduction,परिचय
kitchen,रसोई
strong,मजबूत
tel,टेलीफोन
carolina,कैरोलिना
wedding,शादी
properties,गुण
hospital,अस्पताल
ground,भूमि
overview,अवलोकन
ship,समुंद्री जहाज
accommodation,निवास
owners,मालिकों
disease,रोग
tx,टेक्सास
excellent,अति उत्कृष्ट
paid,भुगतान किया है
italy,इटली
perfect,उत्तम
hair,बाल
opportunity,अवसर
kit,किट
classic,क्लासिक
basis,आधार
command,आदेश
cities,शहरों
william,विलियम
express,एक्सप्रेस
anal,गुदा
award,पुरस्कार
distance,दूरी
tree,पेड़
peter,पीटर
assessment,मूल्यांकन
ensure,सुनिश्चित
thus,इस प्रकार
wall,दीवार
ie,अर्थात
involved,शामिल
el,एल
extra,अतिरिक्त
especially,विशेष रूप से
interface,इंटरफेस
pussy,बिल्ली
partners,भागीदारों
budget,बजट
rated,मूल्यांकन
guides,गाइड
success,सफलता
maximum,ज्यादा से ज्यादा
ma,एमए
operation,ऑपरेशन
existing,मौजूदा
quite,काफी
selected,चुन लिया
boy,लड़का
amazon,वीरांगना
patients,मरीजों
restaurants,रेस्टोरेंट
beautiful,सुंदर
warning,चेतावनी
wine,वाइन
locations,स्थानों
horse,घोड़ा
vote,वोट
forward,आगे
flowers,फूल
stars,सितारे
significant,महत्वपूर्ण
lists,सूचियों
technologies,प्रौद्योगिकियों
owner,मालिक
retail,खुदरा
animals,जानवरों
useful,उपयोगी
directly,सीधे
manufacturer,उत्पादक
ways,तरीके
est,EST
son,बेटा
providing,उपलब्ध कराने के
rule,नियम
mac,मैक
housing,आवास
takes,लेता है
iii,तृतीय
gmt,GMT
bring,लाना
catalog,सूची
searches,खोजें
max,मैक्स
trying,कोशिश कर रहे हैं
mother,मां
authority,अधिकार
considered,माना
told,बोला था
xml,एक्सएमएल
traffic,यातायात
programme,program'
joined,में शामिल हो गए
input,इनपुट
strategy,रणनीति
feet,पैर का पंजा
agent,एजेंट
valid,वैध
bin,बिन
modern,आधुनिक
senior,वरिष्ठ
ireland,आयरलैंड
sexy,कामुक
teaching,शिक्षण
door,द्वार
grand,बड़ा
testing,परिक्षण
trial,ट्रायल
charge,चार्ज
units,इकाइयों
instead,बजाय
canadian,कैनेडियन
cool,ठंडा
normal,साधारण
wrote,लिखा था
enterprise,उद्यम
ships,जहाजों
entire,संपूर्ण
educational,शिक्षात्मक
md,मोहम्मद
leading,प्रमुख
metal,धातु
positive,सकारात्मक
fl,फ्लोरिडा
fitness,स्वास्थ्य
chinese,चीनी
opinion,राय
mb,एमबी
asia,एशिया
football,फ़ुटबॉल
abstract,सार
uses,उपयोग
output,उत्पादन
funds,फंड
mr,श्री
greater,ग्रेटर
likely,उपयुक्त
develop,विकसित करना
employees,कर्मचारियों
artists,कलाकार की
alternative,विकल्प
processing,प्रसंस्करण
responsibility,ज़िम्मेदारी
resolution,संकल्प
java,जावा
guest,अतिथि
seems,लगता है
publication,प्रकाशन
pass,उत्तीर्ण करना
relations,संबंधों
trust,विश्वास
van,वैन
contains,शामिल
session,अधिवेशन
multi,मल्टी
photography,फोटोग्राफी
republic,गणतंत्र
fees,फीस
components,अवयव
vacation,छुट्टी
century,सदी
academic,शैक्षिक
assistance,सहायता
completed,पूरा कर लिया है
skin,त्वचा
graphics,ग्राफिक्स
indian,भारतीय
prev,पिछला
ads,विज्ञापन
mary,मेरी
il,इल
expected,अपेक्षित होना
ring,अंगूठी
grade,ग्रेड
dating,डेटिंग
pacific,शांत
mountain,पर्वत
organizations,संगठनों
pop,पॉप
filter,फिल्टर
mailing,डाक
vehicle,वाहन
longer,लंबे समय तक
consider,विचार करें
int,पूर्णांक
northern,उत्तरी
behind,पीछे
panel,पैनल
floor,मंज़िल
german,जर्मन
buying,खरीदना
match,मेल खाते हैं
proposed,प्रस्तावित
default,चूक
require,की आवश्यकता होती है
iraq,इराक
boys,लड़के
outdoor,घर के बाहर
deep,गहरा
morning,सुबह
otherwise,अन्यथा
allows,की अनुमति देता है
rest,आराम
protein,प्रोटीन
plant,पौधा
reported,की सूचना दी
hit,मारो
transportation,परिवहन
mm,मिमी
pool,पूल
mini,छोटा
politics,राजनीति
partner,साथी
disclaimer,अस्वीकरण
authors,लेखकों
boards,बोर्डों
faculty,संकाय
parties,दलों
fish,मछली
membership,सदस्यता
mission,मिशन
eye,आंख
string,तार
sense,समझ
modified,संशोधित
pack,पैक
released,रिहा
stage,मंच
internal,अंदर का
goods,माल
recommended,की सिफारिश की
born,उत्पन्न होने वाली
unless,जब तक
richard,रिचर्ड
detailed,विस्तृत
japanese,जापानी
race,रेस
approved,मंजूर की
background,पृष्ठभूमि
target,लक्ष्य
except,के सिवाय
character,चरित्र
usb,यु एस बी
maintenance,रखरखाव
ability,योग्यता
maybe,शायद
functions,कार्यों
ed,ईडी
moving,चलती
brands,ब्रांडों
places,स्थानों
php,पीएचपी
pretty,सुंदर
trademarks,ट्रेडमार्क
phentermine,फ़ेंटरमाइन
spain,स्पेन
southern,दक्षिण
yourself,स्वयं
